"Dia","Quantidade"
"2012-01-01",1
"2012-02-01",1
"2012-03-01",5
"2012-04-01",9
"2012-05-01",3
"2012-06-01",3
"2012-07-01",2
"2012-08-01",11
"2012-09-01",10
"2012-10-01",11
"2012-11-01",4
"2013-01-01",1
"2013-02-01",10
"2013-03-01",12
"2013-04-01",82
"2013-05-01",76
"2013-06-01",27
"2013-07-01",28
"2013-08-01",62
"2013-09-01",57
"2013-10-01",38
"2013-11-01",30
"2013-12-01",12
"2013-12-13",1
"2014-01-01",59
"2014-02-01",41
"2014-03-01",49
"2014-04-01",43
